Complaint Year Number;Month Number;Record Create Date;Complaint Precinct Code;County;Law Code Category Description;Offense Description;Bias Motive Description;Offense Category;Arrest Date
2022;9;09/21/2022;7;NEW YORK;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;
2022;2;02.08.2022;10;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;2;02/25/2022;14;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;1;01.12.2022;19;NEW YORK;INVESTIGATION;INVESTIGATIONS/COMPLAINTS ONLY;ANTI-JEWISH;Religion/Religious Practice;
2022;9;09/29/2022;19;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-MUSLIM;Religion/Religious Practice;
2022;6;06/27/2022;25;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;
2022;4;04/27/2022;26;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2022;8;08/30/2022;28;NEW YORK;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;
2022;8;08/15/2022;34;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;10;10/28/2022;45;BRONX;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;11;11.07.2022;45;BRONX;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;2;02.02.2022;48;BRONX;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;
2022;4;04.02.2022;48;BRONX;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;
2022;1;01/23/2022;52;BRONX;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;
2022;10;10/14/2022;88;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;6;06/24/2022;90;KINGS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2022;5;05/26/2022;104;QUEENS;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-BLACK;Race/Color;
2022;6;06/30/2022;114;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;
2020;1;01.09.2020;88;KINGS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2020;5;05.08.2020;100;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-BLACK;Race/Color;
2020;7;07/14/2020;101;QUEENS;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2020;6;06.04.2020;109;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-BLACK;Race/Color;
2020;9;09/14/2020;110;QUEENS;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-BLACK;Race/Color;
2020;1;01/31/2020;113;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-BLACK;Race/Color;
2020;6;06.09.2020;120;RICHMOND;FELONY;ROBBERY;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;
2021;2;02/25/2021;5;NEW YORK;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;
2021;7;07.03.2021;6;NEW YORK;FELONY;FELONY ASSAULT;ANTI-MALE HOMOSEXUAL (GAY);Sexual Orientation;
2021;12;01.04.2021;13;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-LGBT (MIXED GROUP);Sexual Orientation;
2021;4;04/20/2021;13;NEW YORK;MISDEMEANOR;ASSAULT 3 & RELATED OFFENSES;ANTI-ASIAN;Race/Color;
2021;8;08.09.2021;13;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2021;3;03/30/2021;14;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-ASIAN;Race/Color;
2021;11;11.12.2021;14;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2021;6;06/13/2021;18;NEW YORK;MISDEMEANOR;OFF. AGNST PUB ORD SENSBLTY &;ANTI-ASIAN;Race/Color;
2021;3;03/18/2021;22;NEW YORK;MISDEMEANOR;CRIMINAL MISCHIEF & RELATED OF;ANTI-JEWISH;Religion/Religious Practice;
2021;9;09/15/2021;25;NEW YORK;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2021;9;09.06.2021;76;KINGS;FELONY;FELONY ASSAULT;ANTI-ASIAN;Race/Color;
2021;4;04/19/2021;108;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-JEWISH;Religion/Religious Practice;
2021;3;03.12.2021;109;QUEENS;FELONY;MISCELLANEOUS PENAL LAW;ANTI-ASIAN;Race/Color;
